name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Beautiful Things,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,https://api.spotify.com/v1/audio-analysis/6tNQ70jh4OwmPGpYy6R2o9,180304,3
Stick Season,0.662,0.488,9,-6.894,1,0.0682,0.782,0.0,0.102,0.817,117.913,audio_features,0mflMxspEfB0VbI1kyLiAv,spotify:track:0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv,https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv,182347,4
End of Beginning,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
we can't be friends (wait for your love),0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,audio_features,51ZQ1vr10ffzbwIjDCwqm4,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/tracks/51ZQ1vr10ffzbwIjDCwqm4,https://api.spotify.com/v1/audio-analysis/51ZQ1vr10ffzbwIjDCwqm4,228639,4
TEXAS HOLD 'EM,0.725,0.709,2,-6.514,1,0.072,0.588,0.0,0.135,0.353,110.024,audio_features,7AYmToZ5y67fBjq4RLFbuq,spotify:track:7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/tracks/7AYmToZ5y67fBjq4RLFbuq,https://api.spotify.com/v1/audio-analysis/7AYmToZ5y67fBjq4RLFbuq,235636,4
Scared To Start,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,audio_features,3Pbp7cUCx4d3OAkZSCoNvn,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn,https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn,159636,4
Lose Control,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,audio_features,17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,https://api.spotify.com/v1/audio-analysis/17phhZDn6oGtzMe56NuWvj,210689,3
Austin,0.75,0.671,0,-6.753,1,0.0532,0.468,3.75e-06,0.108,0.738,114.902,audio_features,6b81dy3WjbozXK6b7C1gu5,spotify:track:6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/tracks/6b81dy3WjbozXK6b7C1gu5,https://api.spotify.com/v1/audio-analysis/6b81dy3WjbozXK6b7C1gu5,171783,4
greedy,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Prada,0.638,0.717,8,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,141.904,audio_features,59NraMJsLaMCVtwXTSia8i,spotify:track:59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i,https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i,132359,4
